nm_ins;descr;evid_clas_cat;categ;evid_territ;territ;evid_gr_impl;gr_impl;evid_res;res;evid_part_cid;tp_part_cidada;evid_coprod;coprod_cid;evid_orq_mult_IA;uso_evid_orq_mult_IA;autor;ano;titulo;referencia;_timestamp;input_prompt;input_document_text;input_document_size;_run;_error;_raw
Redesign de interface baseado em feedback do usuário;Aprimoramento da usabilidade de portais de serviços públicos através da coleta de sugestões dos cidadãos para atender necessidades diversas.;enhance the portal's usability, including interface redesigns based on user feedback to better meet the needs of diverse user groups.;"Coprodução de Valor Público; Cidadania Digital; Governança Digital";Broadband penetration in Albania;Albânia;Some of the steps that need to be taken are;proposto;to better meet the needs of diverse user groups;Criação de valor público através da melhoria da usabilidade, acessibilidade e inclusão digital de grupos diversos.;involvement of citizens in this process;individual;interface redesigns based on user feedback;O cidadão participa ativamente através do fornecimento de feedback, que subsidia o redesenho de interfaces de serviços públicos online.;;nenhum;Interdisciplinary Journal of Research and Development;2025;Interdisciplinary Journal of Research and Development;Interdisciplinary Journal of Research and Development. (2025). Vol 12 No 1 S 1.;2,02605E+13;New Prompt;Kokalari e Kraja - 2025 - Digital Literacy and Technology Accessibility Among Different Social Groups in Albania.pdf_part_002;2993;gemini-3.1-flash-lite-preview;;
Campanhas de conscientização pública sobre proteção de dados;Iniciativas para aumentar a confiança dos cidadãos no ambiente digital e promover o engajamento no processo de governança de dados.;Public awareness campaigns are needed to increase confidence in data protection and the involvement of citizens in this process.;"Cidadania Digital; Governança Digital";Exploring the digital divide in Albania, Kosovo, and North Macedonia;"Albânia; Kosovo; Macedônia do Norte";Public awareness campaigns are needed;proposto;increase confidence in data protection;Criação de valor público pela elevação da confiança nas instituições e segurança na utilização de serviços digitais.;involvement of citizens in this process;coletiva;envolvement of citizens in this process;Envolvimento coletivo dos cidadãos na construção da transparência e confiança no ambiente digital.;;nenhum;Interdisciplinary Journal of Research and Development;2025;Interdisciplinary Journal of Research and Development;Interdisciplinary Journal of Research and Development. (2025). Vol 12 No 1 S 1.;2,02605E+13;New Prompt;Kokalari e Kraja - 2025 - Digital Literacy and Technology Accessibility Among Different Social Groups in Albania.pdf_part_002;2993;gemini-3.1-flash-lite-preview;;
E-government;A system involving the use of digital technologies to provide access to data, information, and services, allowing participation in decision-making processes in a transparent and efficient way.;it provides access to data, information and services, allows participation in the decision-making process in a transparent and efficient way and implicitly increases the responsibility of the government;"Coprodução de Valor Público;Insights e Dados para Participação Cidadã;Governança Digital";interpreted... from the point of view of creating an electronic government;país;;proposto;allows participation in the decision-making process in a transparent and efficient way and implicitly increases the responsibility of the government;Increases transparency, efficiency, and government responsibility by facilitating citizen participation in decision-making processes.;allows participation in the decision-making process;individual;participation in the decision-making process in a transparent and efficient way;Participation in decision-making through electronic platforms that ensure transparency and access to information.;nenhum;nenhum;Kateryna Kraus;2024;MONITORING OF DIGITAL COMPETITIVENESS IN THE CONTEXT OF SUSTAINABLE DEVELOPMENT AND ECONOMIC GROWTH: GLOBAL TRENDS AND UKRAINIAN REALITIES;KRAUS, Kateryna. MONITORING OF DIGITAL COMPETITIVENESS IN THE CONTEXT OF SUSTAINABLE DEVELOPMENT AND ECONOMIC GROWTH: GLOBAL TRENDS AND UKRAINIAN REALITIES. Journal of Vasyl Stefanyk Precarpathian National University, Vol. 11, No. 2, 91-102, 2024.;2,02605E+13;New Prompt;Kraus - 2024 - MONITORING OF DIGITAL COMPETITIVENESS IN THE CONTEXT OF SUSTAINABLE DEVELOPMENT AND ECONOMIC GROWTH.pdf_part_000;12000;gemini-3.1-flash-lite-preview;;
E-government (Electronic Government);Provision of public services to citizens and companies using electronic means to enhance efficiency, transparency, and public trust.;"D. Lixandroiu, a researcher from Romania, is convinced that “thanks to e-government, public services can be available to citizens in a convenient, efficient and transparent way...; the provision of public services to citizens and companies using electronic means will become better”";"Coprodução de Valor Público; Governança Digital; Canal inteligente de serviços";64 countries from different continents;continente;the provision of public services to citizens and companies using electronic means will become better;implementado em produção;this, in turn, will increase the efficiency of public administration, strengthen the institution of democracy, and ensure a higher level of digital competitiveness;Increased efficiency of public administration, strengthened democracy, and higher international digital competitiveness.;public services can be available to citizens in a convenient, efficient and transparent way;individual;provision of public services to citizens and companies using electronic means;Citizens interact with government services through electronic platforms for convenient and efficient access.;None identified in text;nenhum;Kateryna Kraus;2024;Monitoring of Digital Competitiveness in the Context of Sustainable Text;KRAUS, Kateryna. Monitoring of Digital Competitiveness in the Context of Sustainable Text. 2024.;2,02605E+13;New Prompt;Kraus - 2024 - MONITORING OF DIGITAL COMPETITIVENESS IN THE CONTEXT OF SUSTAINABLE DEVELOPMENT AND ECONOMIC GROWTH.pdf_part_001;12000;gemini-3.1-flash-lite-preview;;
Digital Literacy Programs;Educational initiatives aimed at promoting digital skills for all sectors and the population to bridge the digital divide.;Future directions include bridging the digital divide, promoting digital literacy programs, and leveraging new technologies for transformative public services.;"Cidadania Digital; Governança Digital";Thailand (referenced as context);país;Future directions include bridging the digital divide, promoting digital literacy programs;proposto;Practical implications include transparency, citizen engagement, economic development and improved public services.;Enhanced citizen engagement, economic development, and improved public service delivery.;it is important to ensure equal access to basic information services... for all sectors and the population;coletiva;Participation in digital literacy programs to enhance the ability to use transformative public services.;Citizens participate in literacy programs to improve their ability to interact with digital government services.;None identified in text;nenhum;Kateryna Kraus;2024;Monitoring of Digital Competitiveness in the Context of Sustainable Text;KRAUS, Kateryna. Monitoring of Digital Competitiveness in the Context of Sustainable Text. 2024.;2,02605E+13;New Prompt;Kraus - 2024 - MONITORING OF DIGITAL COMPETITIVENESS IN THE CONTEXT OF SUSTAINABLE DEVELOPMENT AND ECONOMIC GROWTH.pdf_part_001;12000;gemini-3.1-flash-lite-preview;;
Ministry of Digital Transformation of Ukraine;A governmental body formed to oversee digital transformation, coordinate digital public services, and implement strategy.;formation in September 2019 of the Ministry of Digital Transformation of Ukraine;"Governança Digital; Governo Digital Proativo";Ministry of Digital Transformation of Ukraine;país;launching the public services portal and the mobile application “Diia” in 2020;implementado em produção;Ukraine had a positive rating dynamics in 2019–2021 for all factors.;Increased number of electronic public services, improved electronic trust systems, and integration into the Single Digital Market of the EU.;launching the public services portal and the mobile application “Diia”;individual;developing the field of electronic communications... digital public services (eMalyatko, eSupport, subsidies and pensions);Citizens interact with state services via mobile apps and portals for tasks like subsidies, pensions, and digital medicine.;;nenhum;Kateryna Kraus;2024;Monitoring of Digital Competitiveness in the Context of Sustainable Development;Kraus, K. (2024). Monitoring of Digital Competitiveness in the Context of Sustainable Development.;2,02605E+13;New Prompt;Kraus - 2024 - MONITORING OF DIGITAL COMPETITIVENESS IN THE CONTEXT OF SUSTAINABLE DEVELOPMENT AND ECONOMIC GROWTH.pdf_part_002;12000;gemini-3.1-flash-lite-preview;;
Diia. Education;An initiative focused on digital education for the population.;increasing the number of initiatives in the field of digital education (Diia. Education);"Cidadania Digital; Governo Digital Proativo";Ministry of Digital Transformation of Ukraine;país;increasing the number of initiatives in the field of digital education;implementado em produção;The country demonstrated the greatest progress in the “Knowledge” factor;Increased competitiveness of Ukrainian youth on the world market and guaranteed demand by leading global employers.;initiatives in the field of digital education;individual;supporting talented people... in scientific research and development of innovative products;Users engage with digital educational content to build skills and foster innovative solutions.;;nenhum;Kateryna Kraus;2024;Monitoring of Digital Competitiveness in the Context of Sustainable Development;Kraus, K. (2024). Monitoring of Digital Competitiveness in the Context of Sustainable Development.;2,02605E+13;New Prompt;Kraus - 2024 - MONITORING OF DIGITAL COMPETITIVENESS IN THE CONTEXT OF SUSTAINABLE DEVELOPMENT AND ECONOMIC GROWTH.pdf_part_002;12000;gemini-3.1-flash-lite-preview;;
S&T Clusters and Urban Agglomerations;Urban agglomerations serving as centers of innovative development, strengthening city information infrastructure and digital city services.;A special role in the digital society and digital economy is being played by S&T clusters, urban agglomerations, which become centers of innovative development;"Coprodução de Valor Público; Governança Digital";urban agglomerations;cidade;;proposto;encourage enterprises to innovate, promote the development of industry, increase the capabilities of city services using digital means, increasing public participation;Enhancement of industrial development, modernization of city services through digital means, and promotion of public participation in environmental preservation.;increasing public participation and environmental preservation;coletiva;increasing public participation and environmental preservation;Participation in innovation hubs and city-level digital service initiatives to improve urban sustainability.;;nenhum;Kateryna Kraus;2024;Моніторинг цифрової конкурентоспроможності в контексті сталого розвитку і економічного зростання: світові тенденції та українські реалії;KRAUS, Kateryna. Моніторинг цифрової конкурентоспроможності в контексті сталого розвитку і економічного зростання: світові тенденції та українські реалії. Журнал Прикарпатського університету імені Василя Стефаника, 11 (2) (2024), 91-102.;2,02605E+13;New Prompt;Kraus - 2024 - MONITORING OF DIGITAL COMPETITIVENESS IN THE CONTEXT OF SUSTAINABLE DEVELOPMENT AND ECONOMIC GROWTH.pdf_part_003;10050;gemini-3.1-flash-lite-preview;;
National E-government expansion;Deepening public-private partnerships and expanding e-government opportunities to improve public services and economic digitalization.;requires the expansion of e-government opportunities, deepening of public-private partnership;"Coprodução de Valor Público; Governança Digital; Canal inteligente de serviços";Ukraine;país;;em desenvolvimento para produção;expanding the possibilities of electronic participation in economic processes;Digitalization of economic processes, improved internet trade volumes, and enhanced business globalization.;expanding the possibilities of electronic participation;individual;deepening of public-private partnership;Citizens and businesses engage through electronic participation channels facilitated by public-private partnerships.;;nenhum;Kateryna Kraus;2024;Моніторинг цифрової конкурентоспроможності в контексті сталого розвитку і економічного зростання: світові тенденції та українські реалії;KRAUS, Kateryna. Моніторинг цифрової конкурентоспроможності в контексті сталого розвитку і економічного зростання: світові тенденції та українські реалії. Журнал Прикарпатського університету імені Василя Стефаника, 11 (2) (2024), 91-102.;2,02605E+13;New Prompt;Kraus - 2024 - MONITORING OF DIGITAL COMPETITIVENESS IN THE CONTEXT OF SUSTAINABLE DEVELOPMENT AND ECONOMIC GROWTH.pdf_part_003;10050;gemini-3.1-flash-lite-preview;;
European Road to the Digital Decade;A program to prepare businesses and all Europeans for a prosperous digital future where connectivity reaches even the least populated areas, ensuring citizens and businesses possess skills to use technology.;The realization of this human-centered and sustainable vision is the 'European Road to the Digital Decade' program, in which the EU prepares businesses and all Europeans for a prosperous digital future;"Coprodução de Valor Público;Governança Digital";The European Union aims to strengthen its leadership in global technology. The European Commission (EC) has implemented initiatives;"continente; União Europeia";The European Commission (EC) has implemented initiatives, such as investment in 5G infrastructure and digital skills training;implementado em produção;This technology allows for a significant increase (up to 100 times) in data transmission speeds... 5G is transforming industries such as smart cities, healthcare, and industrial automation;Digital transformation drives economic growth, with 5G infrastructure enabling smart cities, remote healthcare, and massive IoT deployments, contributing to sustainable development goals.;everyone (citizens and businesses) has the skills to use technology and fully reap the benefits of the digital transformation;individual;everyone (citizens and businesses) has the skills to use technology and fully reap the benefits of the digital transformation;Cidadãos e empresas participam através do desenvolvimento de competências digitais para a plena utilização das infraestruturas e serviços da Sociedade Gigabit.;Integration with AI and cloud computing drives real-time analytics, smarter decision-making, and improved efficiency.;"What: 5G network slicing and integration with AI; Why: To enable real-time analytics and smarter decision-making; Where: Smart cities and industrial automation; When: By 2030; Who: EU member states and industries; How: Through high-speed, low-latency connectivity for IoT devices; How much: Estimated 1 trillion dollars contribution to global economy.";Agnieszka Kuś, Wioleta Kuflewska, Anna Trocewicz;2025;European Vision of a Gigabit Society: Evidence from Poland;"Kuś, A.; Kuflewska, W.; Trocewicz, A. European Vision of a Gigabit Society: Evidence from Poland. Sustainability 2025, 17, 1271.";2,02605E+13;New Prompt;Kuś et al. - 2025 - European Vision of a Gigabit Society Evidence from Poland.pdf_part_000;12000;gemini-3.1-flash-lite-preview;;
5G Public–Private Partnership (5G-PPP);A collaboration between the European Commission and the European ICT sector to accelerate research and innovation in 5G technology.;The 5G Public–Private Partnership (5G-PPP) was established, consisting of a collaboration between the European Commission and the European ICT sector... to accelerate research and innovation in 5G technology.;"Coprodução de Valor Público;Governança Digital";The collaboration aimed to introduce 5G infrastructure and deploy 5G services in Europe;continente;Already in 2013, the 5G Public–Private Partnership 5G Infrastructure (5G-PPP) was established;implementado em produção;was supported by EUR 700 million under Horizon 2020;Accelerated research and innovation in 5G, aiming for deployment in Europe by 2020 with EUR 700 million funding.;none;nenhum;consisting of a collaboration between the European Commission and the European ICT sector, namely ICT manufacturers, telecom operators, service providers, SMEs and research institutions;Institucional: A cocriação ocorre através da parceria entre a Comissão Europeia e diversos atores do setor privado (fabricantes, operadoras, SMEs e instituições de pesquisa).;none;nenhum;Não especificado (Sustainability journal article);2025;Sustainability 2025, 17, 1271;Sustentabilidade em Redes 5G (Sustainability 2025, 17, 1271);2,02605E+13;New Prompt;Kuś et al. - 2025 - European Vision of a Gigabit Society Evidence from Poland.pdf_part_001;12000;gemini-3.1-flash-lite-preview;;
Digital Compass: the European way for the Digital Decade;Strategy outlining a human-centered vision for Europe’s digital economy, focusing on digital skills, infrastructure, and business transformation.;"The Digital Compass: the European way for the Digital Decade strategy outlined a new human-centered vision... digital skills of the population and highly skilled ICT professionals; safe, efficient and sustainable digital infrastructure; and digital transformation of businesses and public services.";"Cidadania Digital;Governança Digital;Governo Digital Proativo";targets for building digital infrastructure included providing access to a fast and safe gigabit network for all European households and 5G coverage in all populated areas of the EU by 2030.;continente;the European Commission has pledged to support the implementation of large-scale multinational projects;em desenvolvimento para produção;by 2030 in the European Union, at least 80% of all adults should have basic digital skills;Projeta a elevação da maturidade digital europeia com 80% da população possuindo competências digitais e cobertura total de 5G até 2030, gerando valor público através da modernização de serviços públicos e inclusão digital.;none;nenhum;none;nenhum;none;nenhum;Não especificado (Sustainability journal article);2025;Sustainability 2025, 17, 1271;Sustentabilidade em Redes 5G (Sustainability 2025, 17, 1271);2,02605E+13;New Prompt;Kuś et al. - 2025 - European Vision of a Gigabit Society Evidence from Poland.pdf_part_001;12000;gemini-3.1-flash-lite-preview;;
Nationwide Educational Network (Ogólnopolska Sieć Edukacyjna);A project aimed at providing all Polish schools with high-speed internet access.;Examples include the 'Nationwide Educational Network' project, which aimed to provide all Polish schools with high-speed internet access.;Governança Digital;This initiative won the prestigious WSIS Prize 2018 of the World Summit on the Information Society.;país;This initiative won the prestigious WSIS Prize 2018;implementado em produção;This initiative won the prestigious WSIS Prize 2018 of the World Summit on the Information Society.;"Provision of high-speed internet access to all Polish schools; recognized with an international award for value creation.";None mentioned;nenhum;None mentioned;nenhum;None mentioned;nenhum;Sustainability;2025;Sustainability 2025, 17, 1271;Sustainability 2025, 17, 1271;2,02605E+13;New Prompt;Kuś et al. - 2025 - European Vision of a Gigabit Society Evidence from Poland.pdf_part_002;12000;gemini-3.1-flash-lite-preview;;
5G for Poland Strategy;Strategy for the implementation of 5G networks in Poland, involving collaboration between government, local authorities, and businesses.;The strategy’s objectives are in line with the Commission’s Communication on the European Gigabit Society and integrated with the EU’s 5G Action Plan;"Evolução de leis e normas; Coprodução de Valor Público";strategic document outlines a set of actions to be undertaken at various levels of government, local authorities, and businesses... in Poland.;país;the Ministry of Digital Affairs published the '5G for Poland' strategy in January 2018;implementado em produção;The introduction of 5G technology represents a revolution for these sectors, as it offers the potential to reduce costs and increase productivity;Anticipated reduction in costs and increase in industrial productivity, creation of critical infrastructure for smart cities and public administration.;information and education activities aimed at building citizens’ awareness;individual;The strategy assumes the 5G network in Poland as a commercial infrastructure, to be developed by private entities operating within the Polish market.;Private sector entities collaborate with state and local administration to build critical national infrastructure.;None mentioned;nenhum;Sustainability;2025;Sustainability 2025, 17, 1271;Sustainability 2025, 17, 1271;2,02605E+13;New Prompt;Kuś et al. - 2025 - European Vision of a Gigabit Society Evidence from Poland.pdf_part_002;12000;gemini-3.1-flash-lite-preview;;
New regulations to stimulate competition and spur investment;Regulatory framework adjustments designed to promote competitive telecommunications markets and encourage infrastructure investment to accelerate digitization.;with new regulations to stimulate competition and spur investment, it will contribute to increasing the pace of digitization in Poland.;"Evolução de leis e normas; Governança Digital";it will contribute to increasing the pace of digitization in Poland.;país;with new regulations to stimulate competition and spur investment;proposto;it will contribute to increasing the pace of digitization in Poland.;Expected to increase the pace of digitization and provide benefits to consumers and industry.;nenhum;nenhum;nenhum;nenhum;nenhum;nenhum;Sustainability 2025;2025;Sustainability 2025, 17, 1271;Sustainability 2025, 17, 1271;2,02605E+13;New Prompt;Kuś et al. - 2025 - European Vision of a Gigabit Society Evidence from Poland.pdf_part_003;12000;gemini-3.1-flash-lite-preview;;
State and local government incentives for broadband infrastructure;Financial or policy incentives provided by public authorities to encourage operators to build broadband infrastructure in economically unprofitable rural areas.;despite incentives from the state and local governments, investment in broadband infrastructure remains economically unprofitable for operators;"Coprodução de Valor Público; Governança Digital";The least developed region is eastern Poland... for which, despite incentives from the state and local governments;país;despite incentives from the state and local governments, investment in broadband infrastructure remains economically unprofitable;implementado em produção;the gap between rural and national coverage has been narrowing in recent years (from 39.1% in 2020 to 18.1% in 2023);The gap between rural and national broadband coverage narrowed from 39.1% in 2020 to 18.1% in 2023, indicating successful intensification of infrastructure deployment.;nenhum;nenhum;nenhum;nenhum;nenhum;nenhum;Sustainability 2025;2025;Sustainability 2025, 17, 1271;Sustainability 2025, 17, 1271;2,02605E+13;New Prompt;Kuś et al. - 2025 - European Vision of a Gigabit Society Evidence from Poland.pdf_part_003;12000;gemini-3.1-flash-lite-preview;;
Digital Economy and Society Index (DESI);A composite measure that includes multiple indicators from different areas of the digital economy such as connectivity, human capital, internet usage, digital technology integration, and digital public services.;DESI is a composite measure that includes multiple indicators from different areas of the digital economy such as connectivity, human capital, internet usage, digital technology integration and digital public services, which, through a comprehensive approach, made it possible to classify member states according to their level of digitization and analyze their relative progress.;"Insights e Dados para Participação Cidadã;Governança Digital";DESI ranking (both overall and for each area) show that, in each case, Poland was at the bottom of the ranking.;"país;continente";Table 1. Poland’s position in the European DESI ranking.;implementado em produção;Presented in Table 1 data on Poland’s position compared to other member countries in the DESI ranking (both overall and for each area) show that, in each case, Poland was at the bottom of the ranking.;O índice permitiu classificar estados-membros de acordo com seu nível de digitalização e analisar o progresso relativo. No caso da Polônia, os dados indicam um desempenho abaixo da média da UE em áreas como integração de tecnologia digital e uso da internet, servindo como base para monitorar a evolução das políticas digitais.;nenhum;nenhum;nenhum;nenhum;nenhum;nenhum;Sustainability;2025;Sustainability 2025, 17, 1271;Sustainability 2025, 17, 1271.;2,02605E+13;New Prompt;Kuś et al. - 2025 - European Vision of a Gigabit Society Evidence from Poland.pdf_part_004;12000;gemini-3.1-flash-lite-preview;;
Digital Agenda and Gigabit Society Communication Goals;Policy targets regarding broadband availability, download speeds (30 Mbps, 100 Mbps, 1 Gbps), and adoption rates (50% target for 100 Mbps usage).;Data on the indicators defined in the Digital Agenda and Gigabit Society Communication... building demand for such services and having half of all households use them by 2020;"Evolução de leis e normas;Governo Digital Proativo";Poland, like most member states (except Malta and Cyprus), has failed to meet the Digital Agenda goal... in Poland, as well as in the EU as a whole;"país;continente";failed to meet the Digital Agenda goal... the large increase in the rate in 2023 shows that the goal ... is achievable in Poland.;implementado com resultados de coprodução ou impacto de valor público;only 74.9% of Polish households had such access in 2020, while at the EU level, it was 85%... the level of use of at least 100 Mbps services was far below the 50% target set in the Digital Agenda;Os instrumentos definiram metas de conectividade que impulsionaram investimentos em infraestrutura. Embora as metas de 2020 não tenham sido atingidas, houve aumento significativo na adoção de serviços em 2023, demonstrando impacto no valor público ao elevar a cobertura e o uso de internet de alta velocidade na Polônia.;building demand for such services and having half of all households use them by 2020;individual;building demand for such services;O cidadão participa através da adoção e subscrição de serviços de banda larga de alta velocidade, contribuindo para o aumento das taxas de penetração e formação de demanda.;nenhum;nenhum;Sustainability;2025;Sustainability 2025, 17, 1271;Sustainability 2025, 17, 1271.;2,02605E+13;New Prompt;Kuś et al. - 2025 - European Vision of a Gigabit Society Evidence from Poland.pdf_part_004;12000;gemini-3.1-flash-lite-preview;;
mObywatel application;A digital application for citizens covering national ID cards, driver’s licenses, and pensioner’s cards.;The mObywatel application continues to be improved (covering national ID cards, driver’s license or pensioner’s cards) and has gained popularity with 16 million users in 2024;"Canal inteligente de serviços; Governo Digital Proativo";mObywatel application continues to be improved... with 16 million users in 2024;país;has gained popularity with 16 million users in 2024;implementado em produção;has gained popularity with 16 million users in 2024;Provides digital access to essential personal documents and identification for 16 million users, enhancing efficiency in government-citizen interactions.;has gained popularity with 16 million users;individual;none;nenhum;none;nenhum;Sustainability;2025;Sustainability 2025, 17, 1271;Sustainability 2025, 17, 1271.;2,02605E+13;New Prompt;Kuś et al. - 2025 - European Vision of a Gigabit Society Evidence from Poland.pdf_part_005;12000;gemini-3.1-flash-lite-preview;;
myIKP (online patient portal);An online portal for patients to access health documentation by logging in with an e-document.;An important role in this regard is played by the ever-improving online patient portal (myIKP), which can be accessed by logging in with an e-document.;"Canal inteligente de serviços; Governo Digital Proativo";The indicator for Poland (90) is close to the EU target (100);país;All categories of health data are made available to citizens;implementado em produção;The indicator for Poland (90) is close to the EU target (100) and is much higher than in the EU as a whole (79.1).;High level of e-health adoption (90/100), enabling citizens to manage their medical records online, significantly outperforming the EU average.;can be accessed by logging in with an e-document;individual;none;nenhum;none;nenhum;Sustainability;2025;Sustainability 2025, 17, 1271;Sustainability 2025, 17, 1271.;2,02605E+13;New Prompt;Kuś et al. - 2025 - European Vision of a Gigabit Society Evidence from Poland.pdf_part_005;12000;gemini-3.1-flash-lite-preview;;
5G@PL project;A collaborative initiative to enable timely and cost-effective 5G deployment through cooperation between the state, academia, and the private sector.;The goal was to promote cooperation between the state, academia, and the private sector for 5G implementation. One result of this collaboration was the '5G@PL' project.;"Governança Digital; Coprodução de Valor Público";5G Strategy for Poland... conducted... by the Ministry, the National Institute of Telecommunications, and the Warsaw University of Technology;país;Conducted from 2018 to 2021;implementado com resultados de coprodução ou impacto de valor público;aimed to enable timely and cost-effective 5G deployment in Poland;Facilitated collaborative research and infrastructure development for 5G, aiming to bridge the gap in mobile connectivity and support long-term sustainable digital goals.;cooperation between the state, academia, and the private sector;coletiva;promote cooperation between the state, academia, and the private sector;Collaborative development through the involvement of multiple institutional actors (state, academia, private sector) to create digital infrastructure policy and deployment strategies.;none;nenhum;Sustainability;2025;Sustainability 2025, 17, 1271;Sustainability 2025, 17, 1271.;2,02605E+13;New Prompt;Kuś et al. - 2025 - European Vision of a Gigabit Society Evidence from Poland.pdf_part_005;12000;gemini-3.1-flash-lite-preview;;
Mega-Law;Legal regulations requiring energy and water companies to share infrastructure with telecom operators and mandating the installation of technological infrastructure along new streets.;The law required energy and water companies to share their infrastructure, such as utility poles and ducts, with telecom operators. It also obliged investors to build technological infrastructure along new streets and provide broadband internet access to buildings.;"Governança Digital;Evolução de leis e normas";The Polish government is working to address these challenges...;país;A significant reform in this area was the so-called Mega-Law [45].;implementado em produção;They also significantly reduced investment costs by lowering road occupancy fees by up to 90% and made it easier to build infrastructure in health resorts, national parks, and nature reserves.;Streamlined broadband network construction, increased infrastructure sharing, reduced administrative/legal barriers, and lowered investment costs for telecom operators, facilitating wider internet access.;None mentioned.;nenhum;None mentioned.;nenhum;None mentioned.;nenhum;A.K., W.K. and A.T.;2025;Sustainability;A.K., W.K., A.T. (2025). Sustainability, 17, 1271.;2,02605E+13;New Prompt;Kuś et al. - 2025 - European Vision of a Gigabit Society Evidence from Poland.pdf_part_006;12000;gemini-3.1-flash-lite-preview;;
Nationwide Educational Network (OSE);A program providing free 100 Mbps internet access to all Polish schools, digital skills training, and online educational materials.;The program, co-financed by POPC, called the Nationwide Educational Network (OSE), provided free access to 100 Mbps internet for all Polish schools by 2020. It also allowed students to access online educational materials.;"Governo Digital Proativo;Cidadania Digital";The goal is to make these areas more attractive for investment and give residents in small towns the same opportunities to access education, remote work, and online services.;país;The program, co-financed by POPC, called the Nationwide Educational Network (OSE), provided free access to 100 Mbps internet for all Polish schools by 2020.;implementado com resultados de coprodução ou impacto de valor público;The program included digital skills training for over 87,500 teachers and 184,000 students. Platforms for online administrative services, such as ePUAP , were launched, and the system for electronic medical documentation was developed.;Universal internet access for schools, significant enhancement of digital skills for teachers and students, and expanded access to electronic public services (e-health, ePUAP), creating positive public value.;The program included digital skills training for over 87,500 teachers and 184,000 students.;coletiva;Educational campaigns encouraged internet use, showing how modern technologies can improve life and increase social participation.;Engagement in digital literacy training and active utilization of provided broadband and e-government platforms for social and educational participation.;None mentioned.;nenhum;A.K., W.K. and A.T.;2025;Sustainability;A.K., W.K., A.T. (2025). Sustainability, 17, 1271.;2,02605E+13;New Prompt;Kuś et al. - 2025 - European Vision of a Gigabit Society Evidence from Poland.pdf_part_006;12000;gemini-3.1-flash-lite-preview;;
mObywatel App;A mobile application providing citizens with access to digital documents and services.;"The mCObywatel App with High User Ratings; Already 8 Million Poles Have Their mEvidence in the mCitizen App.";"Cidadania Digital; Canal inteligente de serviços; Governo Digital Proativo";Already 8 Million Poles Have Their mEvidence in the mCitizen App.;país;Already 8 Million Poles Have Their mEvidence in the mCitizen App.;implementado em produção;"The mCObywatel App with High User Ratings; Already 8 Million Poles Have Their mEvidence in the mCitizen App.";High user adoption with 8 million users utilizing the app for digital identity and services, creating significant public value through improved accessibility.;Already 8 Million Poles Have Their mEvidence in the mCitizen App.;individual;Already 8 Million Poles Have Their mEvidence in the mCitizen App.;Citizens act individually by accessing and using their digital identity evidence through the mobile platform.;nenhum;nenhum;Minister of Digital Affairs;2024;Already 8 Million Poles Have Their mEvidence in the mCitizen App;Already 8 Million Poles Have Their mEvidence in the mCitizen App. Available online: https://www.gov.pl/web/cyfryzacja/aplikacja-mobywatel-z-wysokimi-ocenami-uzytkownikow (accessed on 1 December 2024).;2,02605E+13;New Prompt;Kuś et al. - 2025 - European Vision of a Gigabit Society Evidence from Poland.pdf_part_007;9492;gemini-3.1-flash-lite-preview;;
5G for Europe: An Action Plan;Action plan defining strategies for the deployment of 5G infrastructure to support socio-economic development.;"Commission to the European Parliament; The Council; the European Economic and Social Committee; The Committee of the Regions. 5G for Europe: An Action Plan";"Governança Digital; Evolução de leis e normas";European Commission: Brussels, Belgium;continente;COM (2016) 588 Final;implementado em produção;European Commission Report on Identification and Quantification of Key Socio-Economic Data to Support Strategic Planning for the Introduction of 5G in Europe.;Provides the structural framework for digital development across Europe, supporting strategic planning for 5G, which is a backbone for future AI-driven multi-agent orchestration.;nenhum;nenhum;nenhum;nenhum;"Dangi, R.; Lalwani, P .; Choudhary, G.; You, I.; Pau, G. Study and Investigation on 5G Technology: A Systematic Review.";"What: 5G network infrastructure as a foundation for data-intensive AI orchestration; Why: To enable low-latency communication; Where: Europe; When: 2016-2024; Who: European Commission; How: Policy mandates and regulatory support for infrastructure; How much: Not specified.";European Commission;2016;5G for Europe: An Action Plan;"Commission to the European Parliament; The Council; the European Economic and Social Committee; The Committee of the Regions. 5G for Europe: An Action Plan; COM (2016) 588 Final; European Commission: Brussels, Belgium, 2016.";2,02605E+13;New Prompt;Kuś et al. - 2025 - European Vision of a Gigabit Society Evidence from Poland.pdf_part_007;9492;gemini-3.1-flash-lite-preview;;
